ID,dist,lat,lon
314876,3,38.480033,-121.509751
314877,3,38.480157,-121.510151
314885,3,38.482406,-121.511297
314886,3,38.482406,-121.511079
314896,3,38.494489,-121.516042
314897,3,38.492539,-121.515973
314898,3,38.492621,-121.515973
314899,3,38.494489,-121.516161
314909,3,38.498603,-121.517291
314910,3,38.498603,-121.517301
314911,3,38.496252,-121.517451
314912,3,38.498579,-121.517559
314922,3,38.516925,-121.521864
314923,3,38.516737,-121.521874
314934,3,38.526156,-121.52084
314935,3,38.526211,-121.521086
314936,3,38.526156,-121.52084
314942,3,38.56738,-121.507009
314943,3,38.567455,-121.507009
314954,3,38.57689,-121.507614
314955,3,38.57689,-121.507614
314956,3,38.576947,-121.507861
314967,3,38.541335,-121.51023
314968,3,38.541335,-121.51023
314969,3,38.541441,-121.510511
314981,3,38.581084,-121.504268
314982,3,38.581084,-121.504268
314983,3,38.580813,-121.50444
314993,3,38.613222,-121.512458
314994,3,38.613784,-121.512458
315005,3,38.61522,-121.512986
315006,3,38.615328,-121.512986
315016,3,38.584289,-121.50306
315017,3,38.584289,-121.502962
315030,3,38.595858,-121.50416
315031,3,38.595598,-121.504187
315032,3,38.594559,-121.503986
315042,3,38.606772,-121.508425
315043,3,38.605358,-121.508425
315044,3,38.607001,-121.509822
315053,3,38.60756,-121.508934
315054,3,38.60756,-121.508535
315055,3,38.606167,-121.508402
315060,3,38.42777,-121.487951
315073,3,38.640853,-121.477486
315076,3,38.634292,-121.499778
315098,3,38.642728,-121.129685
315105,3,38.642469,-121.129621
315804,3,38.602902,-121.54454
315822,3,38.477038,-121.425725
315823,3,38.424808,-121.396344
315824,3,38.510121,-121.4604
315825,3,38.542033,-121.473702
315826,3,38.429026,-121.398881
315827,3,38.422588,-121.394986
315828,3,38.409665,-121.38899
315830,3,38.407455,-121.388992
315831,3,38.414345,-121.391936
315832,3,38.414208,-121.391202
315833,3,38.421348,-121.395078
315834,3,38.446784,-121.405731
315835,3,38.457616,-121.411003
315836,3,38.467834,-121.416935
315837,3,38.467194,-121.416017
315838,3,38.472175,-121.421498
315839,3,38.472569,-121.423178
315841,3,38.455428,-121.409719
315842,3,38.456958,-121.410614
315843,3,38.481528,-121.430356
315846,3,38.484562,-121.434178
315847,3,38.488691,-121.438055
315849,3,38.494847,-121.444557
315850,3,38.497462,-121.448118
315852,3,38.502687,-121.453395
315853,3,38.509079,-121.459386
315854,3,38.518487,-121.464889
315855,3,38.52335,-121.466959
315856,3,38.526244,-121.468411
315857,3,38.533524,-121.472405
315858,3,38.523271,-121.467175
315860,3,38.573898,-121.467078
315861,3,38.560243,-121.472946
315862,3,38.644777,-121.384187
315863,3,38.654139,-121.367313
315864,3,38.666687,-121.353756
315865,3,38.674358,-121.345413
